#continuous	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
conditions	EXP0	EXP1	EXP2	EXP3	EXP4	EXP5	EXP6	EXP7	EXP8	EXP9	EXP10	EXP11	EXP12	EXP13	EXP14	EXP15	EXP16	EXP17	EXP18	EXP19	EXP20	EXP21	EXP22	EXP23	EXP24	EXP25	EXP26	EXP27	EXP28	EXP29	EXP30	EXP31	EXP32	EXP33	EXP34	EXP35	EXP36	EXP37	EXP38	EXP39	EXP40	EXP41	EXP42	EXP43	EXP44	EXP45	EXP46	EXP47	EXP48	EXP49	EXP50	EXP51	EXP52	EXP53	EXP54	EXP55	EXP56	EXP57	EXP58	EXP59	EXP60	EXP61	EXP62	EXP63	EXP64	EXP65	EXP66	EXP67	EXP68	EXP69	EXP70	EXP71	EXP72	EXP73	EXP74	EXP75	EXP76	EXP77	EXP78	EXP79	EXP80	EXP81	EXP82	EXP83	EXP84	EXP85	EXP86	EXP87	EXP88	EXP89	EXP90	EXP91	EXP92	EXP93	EXP94	EXP95	EXP96	EXP97	EXP98	EXP99
G22	0.796107087	0.913052861	0.495705668	0.856064327	0.440791673	0.482657187	0.409746894	0.366840239	0.43950271	0.049964125	0	0.06054598	0.874136525	0.059204544	0.619377184	0.539506828	0.125184245	0.869582301	0.414375124	0.83850193	0.478825779	0	0.445006041	0.509227794	0.713643162	0.450066705	0.756546324	0.086932098	0.909373591	0.054022482	0.722235049	0.061194522	0.56501312	0.32383843	0.575754529	0.356237713	0.329830733	0.7998554	0.886592423	0.852357435	0.633639904	0.032810574	0.083051132	0.415259089	0.908029115	0.84644406	0.469572394	0.061935712	0.060819903	0.114322072	0.515423586	0.696637043	0.426980746	0.158338399	0.461278028	0.478364615	0.440590697	0.360832866	0.751090741	0.834483588	0.297012114	0.653422627	0.412770592	0.192112849	0.375359732	0.831055304	0.510667628	0.446003462	0.350260389	0.416610466	0.891097522	0.041154618	0.590992134	0.154247786	0.10312073	0.479103562	0	0.584810431	0.849644076	0.831501832	0.305919223	0.254306031	0.675314557	0.027008241	0.737627635	0.357703969	0.792355255	0.830709878	0.452015201	0.090219745	0.078398525	0.066572661	0.360298257	0.284317134	0.640308534	0.454063556	0.758966853	0.226439837	0.001415375	0.059524199
G23	0.856224347	0.845129975	0.516038405	0.816024631	0.512337467	0.491637392	0.464840828	0.44184439	0.475400163	0.081671402	0	0.097898108	0.794035539	0.015579527	0.545060309	0.436491654	0.089322344	0.80060594	0.460848241	0.88666159	0.451567569	0.418049637	0	0.428585187	0.735613078	0.439715867	0.784956661	0.258471713	0.806891728	0.064371483	0.712488558	0.016237664	0.552068772	0.296600168	0.64086332	0.380953034	0.335324038	0.842717108	0.81091096	0.831576672	0.618141028	0	0.078316207	0.370955948	0.854726633	0.831353587	0.468142346	0.066277383	0.039858395	0.074975054	0.563027076	0.700068005	0.46909045	0.151115623	0.440228705	0.415255483	0.425283255	0.293813223	0.713551157	0.808473207	0.297565978	0.627246341	0.474501679	0.191405745	0.330393294	0.824118847	0.404123196	0.473571907	0.401321342	0.455035949	0.796157025	0.00813851	0.654976735	0.135028545	0.094874118	0.473286486	0.044099518	0.677441271	0.857215377	0.775670475	0.195147751	0.156577939	0.660083833	0.087778048	0.858362606	0.420590278	0.847305821	0.784259838	0.4633553	0.088962306	0.075829372	0.099661327	0.361563949	0.283659956	0.655479036	0.442209125	0.807273038	0.245858418	0	0
G24	0.852495289	0.889385542	0.522203424	0.864714941	0.45044431	0.454961021	0.43272199	0.417458738	0.421632392	0.006448978	0.011060197	0.084700226	0.846378407	0	0.520143697	0.495125775	0.100857573	0.762974541	0.41428698	0.863448597	0.44064019	0.352298241	0.468798128	0	0.052237562	0.148069458	0.819681765	0.879670342	0.815897461	0.114095494	0.032837441	0.174278739	0.576292048	0.254921659	0.678342937	0.431423943	0.335987767	0.808096142	0.780326983	0.824863403	0.661161327	0.059280915	0.165685969	0.404633122	0.820544772	0.862744745	0.452631836	0.047941069	0.117144228	0.049050959	0.462581745	0.611882883	0.502935448	0.103093039	0.505616801	0.483793767	0.517694335	0.307696718	0.769949561	0.842017161	0.318969058	0.631235261	0.457066722	0.186375756	0.406358444	0.82216878	0.569207424	0.425391647	0.415549546	0.335854258	0.913505614	0.034445391	0.641133264	0.087636711	0.090575718	0.411440081	0.087009039	0.671604063	0.902849658	0.894814954	0.290533356	0.299861842	0.770133651	0.072688154	0.858081286	0.454007086	0.899530991	0.872979075	0.449890636	0	0.076434597	0.098360151	0.333012227	0.253299147	0.572636687	0.40495766	0.88549444	0.240003712	0	0
G25	0.822030506	0.798373751	0.550075024	0.847801303	0.522123846	0.440440278	0.477405137	0.323664468	0.424386481	0	0	0.115832851	0.878558529	0	0.612561183	0.409702337	0.061333404	0.862569897	0.401741886	0.805172355	0.405552585	0.41559875	0.446354769	0.397967507	0	0.155256973	0.875654202	0.852894504	0.859010068	0.062217482	0	0.778257717	0.509315044	0.334796947	0.623256941	0.368533927	0.251129984	0.946618342	0.862740479	0.886958884	0.650666772	0.004541747	0.065413855	0.441830018	0.827108809	0.835354253	0.449365375	0	0.011570234	0.106619683	0.507674735	0.6221497	0.545816734	0.067375281	0.474686526	0.391403783	0.408919987	0.309474615	0.818921738	0.960338185	0.254345346	0.628367184	0.504508456	0.218464206	0.355151984	0.84987418	0.56634834	0.302874548	0.462426662	0.444773699	0.808551992	0.064421585	0.618723029	0.20525473	0.037029883	0.430264636	0.028369299	0.622882199	0.883385038	0.85659024	0.204900855	0.210609122	0.681693655	0.024711574	0.815525513	0.382704747	0.821882845	0.831226896	0.431288877	0.126863888	0.123360393	0.060721472	0.298371312	0.25378416	0.673099451	0.441679535	0.887665772	0.295190857	0	0
G26	0.874532867	0.882251752	0.560494275	0.796352276	0.446505529	0.45250087	0.4685853	0.411332392	0.450499017	0	0	0.112040207	0.891237953	0.012651175	0.545026754	0.498103764	0.119631767	0.749183105	0.371784108	0.85909022	0.528408187	0.41219264	0.385128562	0.361322603	0.744576599	0.018194247	0.871907907	0.181938861	0.858219624	0.097582139	0.785230746	0.07094709	0.603615704	0.26040495	0.618812989	0.415762336	0.391667918	0.748224026	0.87737907	0.880314228	0.605168277	0.03389889	0.089228564	0.402244545	0.794882346	0.856729594	0.477680202	0.036398377	0.003246464	0.106924916	0.540124553	0.628020486	0.513039334	0.107916348	0.488953001	0.448452118	0.409976246	0.313254502	0.755351062	0.845214581	0.321896787	0.671658744	0.465561436	0.224440421	0.322597907	0.891735257	0.586530505	0.400874035	0.330119757	0.396491542	0.809952566	0.106964088	0.644809235	0.165559616	0.040206697	0.405039361	7.70E-04	0.709644159	0.791444781	0.901630755	0.303286364	0.188305968	0.651129239	0.095342339	0.873827102	0.338559004	0.779821705	0.821449414	0.384208536	0.070576677	0.108819123	0.026393081	0.351833126	0.255497056	0.64323202	0.402142133	0.826164236	0.241657683	0	0.007047879
G27	0.86298533	0.817217881	0.559416601	0.853694247	0.497288408	0.532818999	0.379294494	0.397355619	0.395423026	0.003690241	0.046909674	0.107225326	0.84734026	0.025441589	0.556763436	0.507017588	0.214759209	0.883322177	0.4059657	0.841735909	0.498481205	0.485481523	0.482504209	0.357236264	0.796805653	0.48056852	0.068714591	0.161578285	0.826757122	0.018419808	0.78521862	0.029270257	0.535669387	0.290107047	0.653431195	0.314765483	0.24968288	0.930318811	0.780382941	0.830299797	0.641593981	0	0.147762315	0.402567644	0.904909867	0.853700367	0.429813292	0	0.108672561	0	0.466997932	0.782313718	0.530789786	0.110181587	0.466759546	0.402107145	0.390901797	0.241485033	0.728906511	0.89257067	0.304938455	0.700833192	0.400974245	0.214296974	0.435539457	0.797031537	0.559919949	0.39320186	0.373633774	0.326220161	0.872965575	0.133049501	0.654981386	0.167949164	0.01693508	0.364608819	0.064660226	0.620207853	0.834452837	0.860879274	0.243057743	0.253698484	0.675999099	0.133213812	0.793689167	0.353722665	0.757093825	0.864733495	0.506382594	0.056764286	0.064398595	0.056854681	0.344764047	0.315254283	0.664198348	0.486314029	0.815742971	0.215339849	0	0.02482377
G28	0.767456244	0.77072355	0.514833084	0.843380029	0.383304921	0.494726739	0.438281088	0.362453243	0.407278702	0.096510784	0.061484812	0.039173085	0.844971137	0.046930335	0.626993879	0.506988887	0.115397379	0.800171809	0.47354291	0.900310182	0.413212834	0.390888421	0.526821743	0.418128947	0.714434407	0.521146973	0.83668689	0	0.816819332	0.104071353	0.832890117	0.035384522	0.524196169	0.270818224	0.65681388	0.33018112	0.324642064	0.848522143	0.817013777	0.873288523	0.621395339	0.103970916	0.090269486	0.466486836	0.769272688	0.842333566	0.44239634	0.022323157	0	0.170683286	0.62796807	0.69344935	0.504581518	0.044557832	0.398473711	0.403015212	0.398273627	0.246221027	0.693297941	0.861836135	0.298530586	0.652111312	0.410478158	0.188789797	0.402431096	0.863648973	0.536971214	0.423323689	0.345411111	0.365407212	0.89371072	0.088500634	0.689747842	0.091264256	0.081083753	0.484073453	0.012670587	0.607517091	0.807731407	0.866983171	0.201899196	0.263530631	0.637371931	0.014992491	0.870264367	0.417748467	0.816431046	0.84671693	0.35772404	0.059541534	0.112928059	0.107865383	0.35577383	0.28494887	0.628887913	0.466153924	0.850310613	0.258355433	0	0
G29	0.845309748	0.821709467	0.470884456	0.875317228	0.472070724	0.485319607	0.428789304	0.402578893	0.526570512	0.054381393	0.023649462	0.071412643	0.850032946	0.088702748	0.667083587	0.493122307	0.091065382	0.839108411	0.45853514	0.832813472	0.457591892	0.447998358	0.37131557	0.378248361	0.788400468	0.489418263	0.853073713	0.168442357	0.010343205	0.766898583	0.791042055	0.027647518	0.648423881	0.364755852	0.665677512	0.47540435	0.242892223	0.837746169	0.792194377	0.82843141	0.692500617	0.037874816	0.078259297	0.449656759	0.93048024	0.851830531	0.413234364	0.088225972	0.017567757	0.067677071	0.562962752	0.70715574	0.482946657	0.069902331	0.442592462	0.422775966	0.409122887	0.240076259	0.743137756	0.923753547	0.304450522	0.653118722	0.462663125	0.099165883	0.444054561	0.810339779	0.485986668	0.438529667	0.384314936	0.398539232	0.805798165	0.047321883	0.64410539	0.222692196	0.111432793	0.425266127	0.038949684	0.62753835	0.795515675	0.951563759	0.293058603	0.302328994	0.582208607	0.085452174	0.828694576	0.441222175	0.794004945	0.896579244	0.384764085	0.019243191	0.093154935	0.086327033	0.329602545	0.3093706	0.637421933	0.424558506	0.862189916	0.251360921	0	0.041015089
G30	0.854373441	0.877809988	0.526843492	0.826859869	0.398360592	0.437055548	0.372723088	0.303962541	0.471192925	0	0.014312482	0.129755096	0.854172843	0.001875571	0.600614066	0.457674349	0.062999021	0.911932948	0.461709801	0.821029792	0.473077759	0.419443568	0.397366103	0.438048999	0.759351656	0.487461777	0.765264034	0.186092167	0.818317475	0.018732354	0.749856971	0.059045963	0.575753648	0.246939963	0.698648745	0.351205778	0.276408782	0.868179268	0.875277824	0.873205393	0.563528188	0.030387859	0.050368801	0.398877299	0.832344882	0.816486599	0.456658465	0.019752194	0.004088809	0.054626907	0.562223693	0.734390202	0.535002756	0.118956384	0.497014775	0.374556089	0.350994941	0.331286369	0.73629176	0.82086399	0.290549473	0.682713792	0.446647738	0.165727377	0.308493557	0.800744288	0.43291828	0.491775763	0.350968634	0.449204011	0.882143463	0.03006423	0.582379414	0.146690984	0.074118066	0.430439886	0.063511058	0.670808467	0.858983979	0.832079022	0.272224879	0.151248715	0.71760751	0.06410689	0.855584228	0.3705354	0.781352202	0.886424754	0.389988679	0	0	0.151017338	0.33162272	0.279514633	0.662310201	0.51160566	0.772571341	0.257955867	0.002309091	0
G31	0.83992106	0.828645043	0.500736815	0.800608761	0.389162825	0.414083336	0.450429019	0.400713356	0.386358684	0.080831287	0	0.047360585	0.827709409	0	0.5697036	0.391659442	0.05402075	0.87909136	0.402110714	0.84689002	0.49400527	0.393506308	0.347777081	0.339479509	0.73534322	0.466718773	0.843349497	0.174453554	0.933437922	0.034557515	0.024032909	0	0.550361566	0.312396424	0.666912007	0.410463484	0.228269933	0.86417301	0.777465971	0.824401719	0.611720126	0.080357756	0.056076937	0.45485471	0.859823093	0.874769352	0.468620025	0.032168122	0.043147317	0.078559873	0.522064444	0.657371817	0.513723706	0.022328452	0.507383186	0.41145776	0.403941149	0.204658819	0.691131145	0.840969781	0.301348185	0.660042774	0.39697193	0.125377888	0.395912541	0.814607001	0.502838497	0.415614087	0.330211921	0.412158317	0.934105221	0.036619188	0.575788956	0.120446277	0.01214337	0.341105826	0.053633401	0.660289584	0.878791166	0.880174679	0.23046066	0.21592535	0.530907881	0.073619764	0.930704712	0.359817279	0.854027165	0.777557697	0.363057231	0.067027691	0.113939737	0.112953086	0.336958768	0.322237086	0.588584241	0.404970985	0.812453911	0.211720229	0.020697783	0.094309603
G32	0.859325866	0.833653036	0.52340598	0.866082436	0.437613561	0.412277329	0.405294659	0.376151473	0.446746017	0.088509013	0	0.151863339	0.843165654	0.052102746	0.5669341	0.4346565	0.139166917	0.882187507	0.413183517	0.911818339	0.500278201	0.399481226	0.415206496	0.455536767	0.736886326	0.490597704	0.770467612	0.178166154	0.815065075	0.060674469	0.746806224	0.014711802	0.52429527	0.25809971	0.612096246	0.30504526	0.28202802	0.805517764	0.787835217	0.86307587	0.682987489	0.056496974	0.115704026	0.454844093	0.86272683	0.889202765	0.483018427	0	0.055856568	0.014866001	0.486021762	0.692519299	0.502171897	0.154587653	0.457370129	0.487616065	0.364513955	0.325419371	0.681340681	0.847889417	0.368412653	0.632058424	0.42399171	0.258766062	0.371039906	0.826194519	0.521193158	0.393022873	0.418965466	0.4432853	0.863725477	0.05808273	0.639626618	0.193024727	0.009065574	0.39699609	0	0.630087766	0.813247875	0.86836908	0.249005809	0.189112501	0.614907008	0	0.835082243	0.383093592	0.905285233	0.804246652	0.421820562	0.009995956	0.04177688	0.154226637	0.336315649	0.284472593	0.644255464	0.50273663	0.803018506	0.224241287	0.051358594	0
G33	0.910671225	0.844486179	0.568032426	0.831023857	0.443905249	0.518883218	0.415643507	0.360128677	0.409919928	0.09259704	0	0.182654303	0.853577203	0.045290093	0.601979326	0.874319184	0.076775979	0.839284775	0.40102551	0.852450172	0.489574687	0.439307293	0.435830523	0.417904062	0.747743601	0.515921597	0.756857164	0.224382145	0.851933012	0.049286031	0.730673565	0	0	0.176909423	0.686383074	0.371081903	0.341466997	0.822516921	0.806287284	0.860502162	0.654547389	0.052771657	0.051313624	0.455397757	0.839841474	0.855910936	0.48864445	0.047410934	0.00302706	0	0.521847	0.691353669	0.525673229	0.122311434	0.421218985	0.526554831	0.457745068	0.225270114	0.684149384	0.891017178	0.339622248	0.6413905	0.41587615	0.148703664	0.375517444	0.838608143	0.500066862	0.440252816	0.406319686	0.430522242	0.744033354	0.097712288	0.623100395	0.122179276	0	0.421849759	0	0.674755808	0.799220449	0.890010624	0.199061049	0.269121858	0.656088321	0.114699067	0.861425168	0.353895465	0.797448208	0.87779119	0.465046063	0.04188357	0.107887699	0.111948744	0.349324337	0.291796387	0.600550593	0.456756444	0.883129138	0.187337474	0.049882544	0
G34	0.86790915	0.84540038	0.519403981	0.85294375	0.442499215	0.473041511	0.344893998	0.399869451	0.496268978	0.107759847	0	0.090566265	0.892354175	0.020422532	0.627884817	0.437680534	0.078961885	0.811477298	0.38412992	0.885978547	0.523256861	0.399261587	0.401708276	0.400458783	0.881346531	0.454031712	0.898891364	0.245769451	0.911022804	0.170904393	0.779273835	0.002978004	0.50291924	0.006110036	0.670780786	0.022866106	0.279329571	0.853420435	0.755703434	0.894644169	0.690460399	0.03419203	0.109216355	0.476281069	0.823103965	0.825420932	0.432297228	0	0.074701057	0.018567098	0.516753948	0.722759157	0.475203479	0.184089754	0.438256413	0.479002674	0.386150983	0.319069224	0.706274565	0.814898602	0.308952182	0.683102825	0.442944616	0.22764716	0.400469794	0.887321605	0.503755332	0.346676868	0.363158686	0.403082973	0.809018709	0.039745973	0.628247157	0.129754198	0.085720622	0.512988431	0	0.694207713	0.817008476	0.851553319	0.331167545	0.264226807	0.666979335	0.008101485	0.895459305	0.368039177	0.858805873	0.790987815	0.52423189	0.080457244	0.133334541	0.143080913	0.317332499	0.315541509	0.588091049	0.530461703	0.926306838	0.209008926	0.022090622	0.028636152
G35	0.854495055	0.819622868	0.54612019	0.807000575	0.524176837	0.433071971	0.437335187	0.415449896	0.497227046	0.0196953	0.017364979	0.082915784	0.839096334	0.037559358	0.612127965	0.529721387	0.17095327	0.822630164	0.439950092	0.852191621	0.51245843	0.446286121	0.438785743	0.386417737	0.735777934	0.418734743	0.913356272	0.176444504	0.867035335	0.155877908	0.87592912	0	0.592793275	0.654562335	0	0.417632116	0.343110122	0.837345346	0.79100354	0.793140211	0.669126762	0	0.108885741	0.348060712	0.864091304	0.801804803	0.41975451	0.068461838	0	0.140304897	0.549964541	0.765443184	0.559154542	0.12346023	0.469594904	0.426615007	0.384441162	0.147711867	0.713684637	0.913825185	0.271694612	0.643909517	0.460796297	0.202790139	0.435489871	0.829871402	0.550745626	0.448599504	0.359456928	0.381538878	0.858399958	0.07908032	0.631335641	0.167149781	0.07379883	0.433652178	0.010666505	0.576141159	0.955631009	0.873427257	0.243678521	0.2600478	0.625679579	0.092450609	0.845175655	0.33706736	0.850727143	0.934474137	0.45311505	0.043816788	0.129775369	0.09953347	0.372698434	0.304153992	0.701659725	0.463844279	0.83836235	0.230628455	0.04235932	0.097770456
G36	0.801227105	0.790384705	0.567843456	0.827613773	0.42718018	0.418971539	0.457173144	0.453231156	0.386114981	0.054655336	0	0.075751692	0.8574508	0.016972435	0.512891549	0.493049117	0.184160962	0.819176842	0.404725793	0.895908396	0.435576131	0.442292576	0.434579393	0.446459616	0.712968972	0.472079528	0.895081138	0.129810774	0.827746283	0.103200312	0.765128009	0.039161255	0.546497114	0.274093288	0.590054979	0	0.28537445	0.813749486	0.770473279	0.825294323	0.646682234	0.054766525	0.132197811	0.363429859	0.850200228	0.750599457	0.449967327	0.125541721	0.029123452	0.089826913	0.517255824	0.696482405	0.568860739	0.092915672	0.427191287	0.428541146	0.413706451	0.272108396	0.750716234	0.925182528	0.315504881	0.65945495	0.462941065	0.182784268	0.404717049	0.880892886	0.43525865	0.396519551	0.404441262	0.420481835	0.896995972	0.085086781	0.659535212	0.193525231	0.110332913	0.392497432	0.041344642	0.64846107	0.833022191	0.88360345	0.287678028	0.204009017	0.644892513	0.053675828	0.870683696	0.375721595	0.87030995	0.74789708	0.500310245	0.092075366	0.152335537	0.02952734	0.393121173	0.241850922	0.655223254	0.481616953	0.792304614	0.188349428	0.04232697	0
G37	0.858906589	0.885260922	0.533118725	0.775348778	0.431057897	0.470716738	0.405253491	0.417099645	0.495619804	0.108530378	0	0.137601171	0.824028507	0.070293552	0.6103064	0.452049397	0.109389761	0.792716058	0.482815582	0.832451341	0.479337815	0.430361218	0.427843425	0.347050589	0.731384405	0.506360533	0.904463979	0.111611333	0.824450269	0.121752212	0.75366216	0.028700688	0.464221127	0.66416845	0.23376093	0.406226764	0	0.839110314	0.786761704	0.773537423	0.621773289	0.007253256	0.102236154	0.452726531	0.819553988	0.846393856	0.509014582	0	0.020102745	0.073599788	0.548233091	0.667771468	0.515474408	0.102688929	0.428192714	0.431557501	0.404780764	0.23700056	0.676368533	0.733867884	0.396903524	0.563791781	0.465305128	0.196007762	0.374548164	0.849123709	0.582103888	0.452225008	0.418838058	0.408928532	0.895239644	0.017722664	0.571530916	0.121791079	0.018218023	0.47499204	0	0.663941367	0.894702269	0.834722408	0.346726374	0.261741047	0.633626028	0.063193948	0.831741598	0.393155737	0.872718496	0.796264184	0.432661788	0.044302125	0.109685465	0.059565388	0.379087298	0.235756364	0.527835293	0.489316742	0.792517263	0.232696327	0	0
G38	0.838919925	0.862011694	0.560331952	0.850261516	0.455157486	0.463193181	0.445550744	0.375457088	0.495544237	0.070616707	0	0.121034045	0.837414143	0	0.615576004	0.403668368	0.079030852	0.903143665	0.481378274	0.868879926	0.541992664	0.411360643	0.481017255	0.4053465	0.739402521	0.481413386	0	0.172443794	0.79655363	0.046135335	0.842423174	0.917565977	0.600707938	0.291150808	0.679510689	0.410140725	0.268816459	0	0.07117854	0.860995436	0.610962813	0	0.130298524	0.338939174	0.814797157	0.805767457	0.493296608	0	0.076787277	0.067437008	0.540973852	0.710237147	0.52499089	0.024349674	0.40468375	0.437906471	0.397236677	0.258509474	0.778601883	0.820843568	0.331402562	0.642515847	0.487699447	0.250312733	0.351884049	0.826675884	0.430538969	0.436031349	0.363426926	0.365848875	0.836128032	0.082591356	0.637489163	0.116998055	0.042086805	0.515492058	0	0.610366921	0.800952957	0.892537423	0.227560521	0.276713827	0.626818128	0.027785124	0.776407645	0.409873537	0.864200341	0.852312254	0.486275124	0.081478843	0.123429436	0.108150725	0.303338332	0.241435448	0.594738515	0.464425988	0.918149663	0.294456289	0.011932515	0.028107676
G39	0.761116457	0.80661652	0.538805557	0.844924469	0.457497247	0.482826569	0.344398435	0.403583692	0.463885975	0	0.00927978	0.078402131	0.768621866	0.014805458	0.636868846	0.49970167	0.08304585	0.8782881	0.53325247	0.846730087	0.478305365	0.37968559	0.452566611	0.436325999	0.809526388	0.480838102	0.869822462	0.144585348	0.837296875	0.005334749	0.815019289	0	0.634699875	0.249319757	0.646810915	0.413496342	0.29692793	0.908994659	0	0.793212261	0.651078667	0.047404184	0.133370973	0.401269634	0.872227169	0.780838483	0.432481234	0.004733064	0	0.086972863	0.511458424	0.716060588	0.531230329	0.124515285	0.458277767	0.445207847	0.431388198	0.28330301	0.801049128	0.8654192	0.277202236	0.615425522	0.435433179	0.239028615	0.411119891	0.786035704	0.473767034	0.420837147	0.338973288	0.385934162	0.796847873	0.065546601	0.60290236	0.159441485	0.056410622	0.49281165	0.069345722	0.645086355	0.842865531	0.805279693	0.174185737	0.201236642	0.623362566	0.138626648	0.825814085	0.358969304	0.786174984	0.859434069	0.484411838	0.051704161	0.139646816	0.110496825	0.388358206	0.357523274	0.603951129	0.480433724	0.777946262	0.208500312	0	0.026220322
G40	0.888023097	0.83631158	0.516561257	0.803827989	0.439424417	0.485648116	0.48395563	0.380542329	0.455717063	0.097725986	0.037778716	0.068410089	0.788598719	0.001666794	0.638368391	0.417156251	0.102768479	0.873390799	0.454292246	0.83928917	0.538770919	0.429677589	0.463348399	0.318339213	0.822383178	0.451115067	0.832812598	0.180322366	0.831625029	0.115727461	0.783360652	0.05857274	0.541504731	0.263552748	0.628505527	0.500310702	0.28058498	0.834450647	0.82206514	0	0.853537611	0.837832472	0.809041269	0	0.760392455	0.863684004	0.452433094	0.088594532	0.028819494	0.040811459	0.512484881	0.672021374	0.527405581	0.098639719	0.393877816	0.440290653	0.415204506	0.264568721	0.71994235	0.855067123	0.348218383	0.663024069	0.409857827	0.15105592	0.401306872	0.878945179	0.557163654	0.419373969	0.403843156	0.374480325	0.802870771	0.076659318	0.625357428	0.117265745	0.07357463	0.494804436	0.127700477	0.605427869	0.853090513	0.851151731	0.301850048	0.299515034	0.595411222	0	0.876952786	0.356339094	0.878322593	0.809445607	0.437783421	0.060588276	0	0.053869887	0.30427158	0.214485201	0.603046595	0.41117035	0.844224671	0.295886935	0	0.054779952
G41	0.883633318	0.835058058	0.536077593	0.816642224	0.438138744	0.493202069	0.426247551	0.392780993	0.472172193	0.039547864	0	0.152196456	0.794468918	0.106570133	0.595312413	0.54004741	0.139309803	0.818553945	0.415358345	0.779444847	0.481110208	0.40747751	0.490407579	0.363513781	0.788546356	0.404405328	0.856125639	0.185092891	0.922941079	0	0.734643921	0	0.572352876	0.30397515	0.595911852	0.348107281	0.247034367	0.844856446	0.83361219	0.866845309	0.031945524	0.032038198	0.05428121	0.418527854	0.825986713	0.863777019	0.522308802	0.04748573	0.038591457	0.088584826	0.488754916	0.702908267	0.517850058	0.04786913	0.428237942	0.533326385	0.357290405	0.29186797	0.747108448	0.837926219	0.348884343	0.652427303	0.451342232	0.256866645	0.376739756	0.780010653	0.540286941	0.441509734	0.387497956	0.444849701	0.816670997	0.038575901	0.604048302	0.182120629	0.134114937	0.440143923	0	0.602402163	0.853592667	0.77476215	0.221612306	0.281573819	0.643617219	0.142016085	0.852008319	0.420536028	0.855947575	0.871825958	0.406454222	0.102832208	0.026321752	0.074927787	0.346118063	0.267065641	0.604596566	0.473074032	0.801023903	0.177071197	0	0.032516394
G42	0.884414376	0.817233674	0.626399968	0.822759041	0.489200001	0.429649816	0.489632947	0.39528576	0.498470497	0.003156694	0	0.092125392	0.862441529	0.132575412	0.629216505	0.367770602	0.076547869	0.9282382	0.401967133	0.855198687	0.503334929	0.335232067	0.506015482	0.471369573	0.717419279	0.455159966	0.822848101	0.204045162	0.755887876	0.050539662	0.75132117	0	0.535770326	0.277899416	0.63244649	0.360291923	0.265651206	0.815170722	0.748274568	0.930439857	0.695087225	0.022785159	0.131661574	0.418513549	0.898439982	0.827509944	0.488682511	0	0.094165115	0.055337004	0.556220615	0.73391189	0.444165323	0.092584625	0.481416943	0.440920308	0.371182782	0.299158721	0.734849227	0.855144536	0.316532596	0.691182602	0.362489527	0.182956987	0.354052248	0.899977275	0.568388541	0.437483992	0.369709064	0.369349128	0.777306922	0.096928514	0.526597937	0.078381208	0.091199496	0.420223787	0	0.697041277	0.804604182	0.81073953	0.235844316	0.297722825	0.585679502	0.061589357	0.899584206	0.303143892	0.817196404	0.806869411	0.442260209	0.057289949	0.075187743	0.002593417	0.330127912	0.358281827	0.664690339	0.451166989	0.859516736	0.286499372	0	0
G43	0.779460046	0.836679033	0.62042513	0.804117045	0.402696896	0.429281177	0.392342462	0.342027547	0.359826246	0.047418562	0	0.04014442	0.817859733	0.025233191	0.588790474	0.520117686	0.095638726	0.854354044	0.489359371	0.909161384	0.467032083	0.343652656	0.358240448	0.38146822	0.797986539	0.451800549	0.925878986	0.235673913	0.876021626	0.127907423	0.71838633	0.043221157	0.586381239	0.284879193	0.670458858	0.41756803	0.279962637	0.901627478	0.798955045	0.819414159	0.593278823	1.49E-04	0	0.389611673	0.772655244	0.825524316	0.444976564	0	0.060074535	0.062682734	0.50025989	0.709134659	0.549238396	0.084563754	0.482424571	0.378442505	0.468136741	0.261954425	0.675514723	0.830577736	0.291949949	0.612131105	0.464037279	0.085474313	0.383583028	0.786196275	0.530295152	0.413202172	0.390248387	0.367042229	0.777480937	0.074396013	0.554220658	0.137970131	0.113640839	0.362924473	0	0.63788281	0.852030009	0.844852398	0.257817165	0.214189172	0.626404784	0.028551961	0.761489822	0.347601327	0.825648682	0.840731334	0.370363767	0	0.063407733	0.064949927	0.236744886	0.308721113	0.629049312	0.530338916	0.878403031	0.310950566	0	0
